environment,trigger,premise,hypothesis,predifined_label,human_selection,match
conditional,manner,If the professor had shed tears angrily%2C the athlete could have split the log., The professor did not shed tears.,contradiction,contradiction,1
unembedded,factive,The worker forgot betting $100 on the race.,The worker did not bet $100 on the race.,contradiction,contradiction,1
question,factive,Did the kid forget letting the blinds down?, The kid let the blinds down.,entailment,entailment,1
question,again,Did the professor cast bronze into a statue again?, The professor had not cast bronze into a statue before.,contradiction,contradiction,1
conditional,factive,If the child had forgot hitting the ball with the bat%2C the doctor could have read the letter., The child hit the ball with the bat.,entailment,neutral,0
neg,temporal,The teacher did not upset the boat while spreading the rumor., The teacher spread the rumor.,entailment,entailment,1
conditional,csv,If the worker had gave up hitting the ball with the bat%2C the manager could have spread the rumor., The worker had not been hitting the ball with the bat.,contradiction,contradiction,1
question,again,Did the boy hurt others again?, The boy had hurt others before.,entailment,entailment,1
unembedded,temporal,The boy spread the rumor when bursting into the room., The boy burst into the room.,entailment,entailment,1
conditional,again,If the director had slit the envelope again%2C the manager would have split the log., The director had not slit the envelope before.,contradiction,contradiction,1
neg,temporal,The teacher did not bet $100 on the race before casting bronze into a statue., The teacher did not cast bronze into a statue.,contradiction,contradiction,1
conditional,csv,If the stranger had continued bursting into the room%2C the assistant would have spread the rumor., The stranger had been bursting into the room.,entailment,entailment,1
unembedded,manner,The athlete upset the boat calmly., The athlete upset the boat.,entailment,entailment,1
unembedded,temporal,The professor shed tears when spreading the rumor., The professor did not spread the rumor.,contradiction,contradiction,1
conditional,temporal,If the student had let the blinds down before thrusting the fork into the cake%2C the director would have hit the ball with the bat., The student did not thrust the fork into the cake.,contradiction,contradiction,1
question,temporal,Did the director set the dish on the table while slitting the envelope?, The director did not slit the envelope.,contradiction,contradiction,1
neg,manner,The student did not spread the rumor happily., The student spread the rumor.,entailment,entailment,1
unembedded,manner,The woman bet $100 on the race sadly.,The woman did not bet $100 on the race.,contradiction,contradiction,1
conditional,temporal,If the dancer had upset the boat before setting the dish on the table%2C the director would have split the log., The dancer set the dish on the table.,entailment,entailment,1
neg,csv,The girl did not quit splitting the log., The girl had not been splitting the log.,contradiction,contradiction,1
neg,again,The professor did not cast bronze into a statue again., The professor had cast bronze into a statue before.,entailment,contradiction,0
unembedded,factive,The doctor forgot shutting the door., The doctor did not shut the door.,contradiction,contradiction,1
unembedded,manner,The man thrust the fork into the cake angrily., The man did not thrust the fork into the cake.,contradiction,contradiction,1
unembedded,csv,The professor stopped reading the letter., The professor had not been reading the letter.,contradiction,contradiction,1
neg,temporal,The student did not burst into the room after casting bronze into a statue., The student did not cast bronze into a statue.,contradiction,contradiction,1
question,csv,Did the woman quit upsetting the boat?, The woman had been upsetting the boat.,entailment,entailment,1
question,again,Did the singer thrust the fork into the cake again?, The singer had thrust the fork into the cake before.,entailment,entailment,1
question,csv,Did the athlete finish hitting the ball with the bat?, The athlete had not been hitting the ball with the bat.,contradiction,contradiction,1
neg,factive,The man did not regret thrusting the fork into the cake., The man did not thrust the fork into the cake.,contradiction,contradiction,1
question,manner,Did the kid shut the door easily?, The kid did not shut the door.,contradiction,contradiction,1
question,temporal,Did the assistant cast bronze into a statue before setting the dish on the table?, The assistant set the dish on the table.,entailment,entailment,1
unembedded,again,The stranger burst into the room again., The stranger had not burst into the room before.,contradiction,contradiction,1
